"iso_o","Origin","iso_d","Destination","contig","comlang_off","comlang_ethno","colony","comcol","curcol","col45","smctry","dist","distcap","distw","distwces"
"DZA","Algeria","DZA","Algeria",0,0,0,0,0,0,0,0,580.4717,580.4717,327.8768,128.9705
"AGO","Angola","DZA","Algeria",0,0,0,0,0,0,0,0,5194.244,5194.244,5223.227,5210.312
"BEN","Benin","DZA","Algeria",0,1,1,0,1,0,0,0,3387.561,3376.147,3157.913,3141.419
"BWA","Botswana","DZA","Algeria",0,0,0,0,0,0,0,0,7263.32,7263.32,7033.861,7027.606
"BFA","Burkina Faso","DZA","Algeria",0,1,1,0,1,0,0,0,2766.421,2766.421,2722.586,2711.146
"BDI","Burundi","DZA","Algeria",0,1,1,0,0,0,0,0,5239.888,5239.888,5165.023,5160.203
"CMR","Cameroon","DZA","Algeria",0,1,1,0,1,0,0,0,3772.921,3772.921,3470.087,3446.435
"CPV","Cape Verde","DZA","Algeria",0,0,0,0,0,0,0,0,3580.534,3580.534,3529.579,3511.691
"CAF","Central African Republic","DZA","Algeria",0,1,1,0,1,0,0,0,3947.999,3947.999,3795.384,3786.841
"TCD","Chad","DZA","Algeria",0,1,1,0,1,0,0,0,2995.308,2995.308,3059.878,3043.143
"COM","Comoros","DZA","Algeria",0,1,1,0,1,0,0,0,6846.9,6846.9,6812.375,6807.297
"COG","Congo Republic","DZA","Algeria",0,1,1,0,1,0,0,0,4743.947,4743.947,4611.005,4605.124
"CIV","Cote d'ivoire","DZA","Algeria",0,1,1,0,1,0,0,0,3579.926,3444.604,3439.06,3428.086
"DJI","Djibouti","DZA","Algeria",0,1,1,0,1,0,0,0,4892.677,4892.677,4831.652,4821.563
"EGY","Egypt","DZA","Algeria",0,1,1,0,0,0,0,0,2718.831,2718.831,2670.095,2642.853
"GNQ","Equatorial Guinea","DZA","Algeria",0,1,0,0,0,0,0,0,3729.642,3729.642,3767.861,3760.723
"ERI","Eritrea","DZA","Algeria",0,0,1,0,0,0,0,0,4271.544,4271.544,4269.28,4252.622
"ETH","Ethiopia","DZA","Algeria",0,0,0,0,0,0,0,0,4750.649,4750.649,4662.705,4649.224
"GAB","Gabon","DZA","Algeria",0,1,1,0,1,0,0,0,4110.369,4110.369,4082.966,4076.639
"GMB","Gambia","DZA","Algeria",0,0,0,0,0,0,0,0,3253.409,3253.409,3196.105,3179.964
"GHA","Ghana","DZA","Algeria",0,0,0,0,0,0,0,0,3497.512,3497.512,3330.446,3316.277
"GIN","Guinea","DZA","Algeria",0,1,1,0,1,0,0,0,3577.289,3577.289,3348.474,3332.728
"GNB","Guinea-Bissau","DZA","Algeria",0,0,0,0,0,0,0,0,3346.646,3346.646,3287.781,3273.294
